,2025-03-28 00:00:00,8658.85311223,19864.98264963,4722.50741428,6633.86045767,4671.26510078,11446.94080069,4608.97295522,3747.8811103,3367.52554913,696.61582416
,2025-03-27 00:00:00,8666.121756,19914.70249455,4727.39416023,6656.244572,4676.28447432,11484.070737,4624.50606378,3757.35442299,3370.36008311,696.76327932
,2025-03-26 00:00:00,8689.58719398,20039.20168414,4742.16479514,6653.59660818,4690.61495521,11507.07933634,4623.00931471,3753.33375717,3355.38645096,693.81131227
,2025-03-25 00:00:00,8663.79929015,19981.21393014,4728.13294869,6644.89535932,4676.86706722,11449.41051435,4616.43353158,3742.64228201,3351.46107143,693.43839717
,2025-03-24 00:00:00,8638.0120795,19922.43438329,4714.07933245,6615.49461895,4662.85039451,11459.3126858,4596.76099043,3684.08734425,3326.63352565,689.11652931
,2025-03-21 00:00:00,8646.78899316,19911.5048517,4717.99901801,6601.94680686,4666.49961701,11435.56216088,4587.34380412,3695.90420254,3324.76849429,689.12376035
,2025-03-20 00:00:00,8701.9899329,20097.98105303,4749.78844505,6645.01275782,4697.92523625,11420.73857074,4616.06492038,3740.61016363,3367.75655039,695.84018027
,2025-03-19 00:00:00,8706.65554488,20122.36539118,4752.71787212,6645.14736205,4700.77566685,11452.18496864,4616.57841919,3742.79876379,3357.86711521,694.62207702
,2025-03-18 00:00:00,8705.22912332,20097.76810689,4751.34005346,6614.02679364,4699.06666096,11465.48006007,4595.85855514,3768.30421336,3356.24484764,694.28142173
,2025-03-17 00:00:00,8680.28777614,20027.90884239,4737.38164147,6612.51377509,4685.47432104,11443.68147093,4594.54920396,3724.08643784,3324.59368726,688.95681031
,2025-03-14 00:00:00,8632.32844735,19995.58735915,4713.41071165,6573.30817883,4661.69767049,11497.30315017,4568.93746234,3700.61026134,3316.62226024,687.74020615
,2025-03-13 00:00:00,8542.55500126,19688.57168308,4661.60602105,6507.71218528,4610.54047906,11459.32172476,4524.37287674,3647.6886798,3270.77857772,679.46258205
,2025-03-12 00:00:00,8540.96962225,19886.51296026,4666.4116616,6522.39635945,4615.3883625,11456.65899125,4534.19924356,3667.91130821,3279.17020236,680.92001214
,2025-03-11 00:00:00,8495.99302033,19770.16010887,4641.5111533,6505.13303628,4590.96880359,11452.23588427,4522.54564143,3650.50119146,3262.84009844,678.4881726
,2025-03-10 00:00:00,8600.2215245,19875.18381835,4694.58366013,6525.740485,4642.82364425,11535.99078697,4537.50931061,3664.888707,3279.58678031,682.63326731
,2025-03-07 00:00:00,8679.88417089,20129.11725565,4740.03384745,6588.21840452,4687.76438848,11519.19005252,4579.24494225,3731.61552687,3349.67666379,694.23089462
,2025-03-06 00:00:00,8682.83904796,20159.07455883,4742.297602,6581.3114704,4689.88357612,11495.12148082,4574.28331387,3716.8644475,3337.42174027,692.45635472
,2025-03-05 00:00:00,8755.83668018,20127.72687345,4776.5158439,6577.35088146,4723.11154566,11500.04486045,4571.68936985,3676.77138962,3319.47165745,690.47636139
,2025-03-04 00:00:00,8758.99529227,19950.49962053,4773.04788371,6533.07764313,4719.21245695,11498.37607364,4541.93250082,3644.36299124,3297.43812182,686.86828189
,2025-03-03 00:00:00,8871.30756071,20382.29478533,4839.20196884,6637.73663024,4784.78832795,11601.67978162,4613.57345858,3718.94067126,3375.91346427,701.80369562
,2025-02-28 00:00:00,8809.73681544,20326.38359394,4808.02299183,6625.33761423,4754.32135863,11542.22887195,4604.43072597,3695.9665291,3388.88233873,703.82707115
,2025-02-27 00:00:00,8756.20945089,20414.72648505,4784.77057171,6685.6529775,4732.42782148,11585.65507026,4645.49191787,3730.70849651,3410.67747463,707.72323542
,2025-02-26 00:00:00,8731.45581207,20595.90006758,4777.96578715,6716.27158227,4726.17542023,11588.65730011,4666.07232899,3778.64565918,3433.31891891,711.50069057
,2025-02-25 00:00:00,8668.67423528,20448.27950788,4743.62411108,6693.47278076,4692.50940418,11630.13577177,4651.35475798,3750.98271937,3413.10230335,708.06324075
,2025-02-24 00:00:00,8658.97852169,20484.38696374,4739.9782074,6730.37301225,4689.40356531,11626.65393857,4676.05884362,3772.50370057,3425.32873428,710.88245318
,2025-02-21 00:00:00,8659.36562639,20613.88943548,4743.80871387,6749.17824408,4693.35240092,11699.96822686,4689.69082787,3821.1306122,3463.96510633,718.01682148
,2025-02-20 00:00:00,8662.97455213,20612.77403058,4745.51261437,6747.94971407,4694.99462573,11690.02427623,4688.72579994,3810.43070443,3449.42850333,716.53944065
,2025-02-19 00:00:00,8712.52937116,20707.78769576,4772.01400402,6779.86012676,4721.14505625,11767.31702822,4711.21244566,3853.63825811,3463.56620914,719.42986749
,2025-02-18 00:00:00,8766.7282637,20881.55507926,4802.9646517,6801.11871337,4751.49440431,11754.55387347,4725.27740962,3898.65481897,3489.81158012,724.51676944
,2025-02-17 00:00:00,8768.00848929,20938.68443698,4805.18792305,6824.89676216,4753.94031327,11711.62153505,4740.60114761,3912.24382998,3495.41775155,725.22015805
,2025-02-14 00:00:00,8732.45754739,20913.0062833,4787.3709687,6823.87416619,4736.60495598,11629.47558116,4738.75153144,3916.19427461,3503.78136774,726.05504956
,2025-02-13 00:00:00,8764.72441702,20916.13938486,4802.97445546,6827.0018149,4751.813478,11640.39840514,4741.00274577,3909.12363859,3485.91836915,723.19880109
,2025-02-12 00:00:00,8807.4383195,20880.49849976,4822.51036772,6830.32198754,4770.84773265,11471.05648415,4740.82826422,3912.85466998,3486.09045185,723.39081792
